Rank   Event          Stage          Round          Matches  Match Code                          Match ID
--------------------------------------------------------------------------------------------------------------

--- Global Round 1 ---
222    Women's C      CONSOLATION    CONS Semi      8        WOM_WOM_E13_BLW_C2                  1281
223    Women's C      CONSOLATION    CONS Semi      8        WOM_WOM_E13_BLL_C1                  1292
224    Women's C      CONSOLATION    CONS Semi      8        WOM_WOM_E13_BLL_C2                  1293

--- Global Round 5 ---
225    Women's A      MAIN           MAIN Final     4        WOM_WOM_E11_BWW_M7                  1095
226    Women's A      MAIN           MAIN Final     4        WOM_WOM_E11_BWL_M7                  1107
227    Women's A      MAIN           MAIN Final     4        WOM_WOM_E11_BLW_M7                  1119
228    Women's A      MAIN           MAIN Final     4        WOM_WOM_E11_BLL_M7                  1131
229    Women's B      MAIN           MAIN Final     4        WOM_WOM_E12_BWW_M7                  1175
230    Women's B      MAIN           MAIN Final     4        WOM_WOM_E12_BWL_M7                  1187
231    Women's B      MAIN           MAIN Final     4        WOM_WOM_E12_BLW_M7                  1199
232    Women's B      MAIN           MAIN Final     4        WOM_WOM_E12_BLL_M7                  1211
233    Women's C      MAIN           MAIN Final     4        WOM_WOM_E13_BWW_M7                  1255
234    Women's C      MAIN           MAIN Final     4        WOM_WOM_E13_BWL_M7                  1267
235    Women's C      MAIN           MAIN Final     4        WOM_WOM_E13_BLW_M7                  1279
236    Women's C      MAIN           MAIN Final     4        WOM_WOM_E13_BLL_M7                  1291
237    Mixed A        RR             RR R3          8        MIX_MIX_E10_POOLA_RR_05             1053
238    Mixed A        RR             RR R3          8        MIX_MIX_E10_POOLA_RR_06             1054
239    Mixed A        RR             RR R3          8        MIX_MIX_E10_POOLB_RR_05             1059
240    Mixed A        RR             RR R3          8        MIX_MIX_E10_POOLB_RR_06             1060
241    Mixed A        RR             RR R3          8        MIX_MIX_E10_POOLC_RR_05             1065
242    Mixed A        RR             RR R3          8        MIX_MIX_E10_POOLC_RR_06             1066
243    Mixed A        RR             RR R3          8        MIX_MIX_E10_POOLD_RR_05             1071
244    Mixed A        RR             RR R3          8        MIX_MIX_E10_POOLD_RR_06             1072
245    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BWW_C3                  1098
246    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BWW_C4                  1099
247    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BWW_C5                  1100
248    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BWL_C3                  1110
249    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BWL_C4                  1111
250    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BWL_C5                  1112
251    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BLW_C3                  1122
252    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BLW_C4                  1123
253    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BLW_C5                  1124
254    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BLL_C3                  1134
255    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BLL_C4                  1135
256    Women's A      CONSOLATION    CONS Final+    12       WOM_WOM_E11_BLL_C5                  1136
257    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BWW_C3                  1178
258    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BWW_C4                  1179
259    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BWW_C5                  1180
260    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BWL_C3                  1190
261    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BWL_C4                  1191
262    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BWL_C5                  1192
263    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BLW_C3                  1202
264    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BLW_C4                  1203
265    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BLW_C5                  1204
266    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BLL_C3                  1214
267    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BLL_C4                  1215
268    Women's B      CONSOLATION    CONS Final+    12       WOM_WOM_E12_BLL_C5                  1216
269    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BWW_C3                  1258
270    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BWW_C4                  1259
271    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BWW_C5                  1260
272    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BWL_C3                  1270
273    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BWL_C4                  1271
274    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BWL_C5                  1272
275    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BLW_C3                  1282
276    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BLW_C4                  1283
277    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BLW_C5                  1284
278    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BLL_C3                  1294
279    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BLL_C4                  1295
280    Women's C      CONSOLATION    CONS Final+    12       WOM_WOM_E13_BLL_C5                  1296
